id;name;last_name;second_last_name;sex;birthday_date;entry_date;position;salary;state
1;calculate Investment Account;Schowalter;quantify;port withdrawal;2020-12-08T03:51:20;2020-12-08T00:41:01;Dale deposit Bedfordshire;36120;Activo
2;Handmade silver;Smitham;Home;bandwidth-monitored Sleek;2020-12-07T09:13:41;2020-12-07T13:41:17;payment Switchable Garden;49610;Activo
3;Unbranded Granite Bacon;Lockman;National;Games Singapore;2020-12-07T08:07:47;2020-12-07T17:24:41;Berkshire;12794;Activo
4;open-source;Williamson;alarm;portals time-frame;2020-12-07T08:25:14;2020-12-07T12:35:00;Concrete Soap;54568;Activo
5;Norfolk Island Kiribati lavender;Keeling;24 hour;New Zealand;2020-12-07T18:40:21;2020-12-07T07:48:11;Automated Small Concrete Chicken;84274;Activo
6;Table;Turcotte;Shoes purple white;back up Bedfordshire deliverables;2020-12-07T17:20:41;2020-12-08T06:04:11;Checking Account Unbranded Plastic Computer;16522;Activo
7;Rustic Personal Loan Account;Leannon;upward-trending;Executive sensor;2020-12-08T03:36:44;2020-12-08T05:47:55;Awesome Hungary;32720;Activo
8;redundant;Feeney;multi-state North Carolina;Gorgeous Baby Toys;2020-12-08T01:24:55;2020-12-07T08:23:45;Unbranded Metal;88001;Desactivo
9;Unbranded;Hane;systems;feed deposit back up;2020-12-08T06:23:49;2020-12-08T06:16:09;Lead;14323;Desactivo
10;killer;Pagac;implementation 4th generation Salad;Poland Principal eyeballs;2020-12-08T06:02:25;2020-12-07T11:01:55;Gorgeous;3924;Activo
